courseID,courseTitle,courseLink
11183, Ecology,https://handbook.uts.edu.au/subjects/details/11183.html
11186, Grading and Site Works,https://handbook.uts.edu.au/subjects/details/11186.html
11188, Landscape Architecture Studio 5,https://handbook.uts.edu.au/subjects/details/11188.html
11189, Practice: Research Cultures,https://handbook.uts.edu.au/subjects/details/11189.html
11191, Landscape Architecture Studio 7,https://handbook.uts.edu.au/subjects/details/11191.html
11194, Landscape Architecture Studio 8,https://handbook.uts.edu.au/subjects/details/11194.html
11196, Landscape History and Theory 3,https://handbook.uts.edu.au/subjects/details/11196.html
11197, Landscape Architecture Studio 2,https://handbook.uts.edu.au/subjects/details/11197.html
11198, Landscape Architecture Studio 4,https://handbook.uts.edu.au/subjects/details/11198.html
11199, Landscape Architecture Studio 6,https://handbook.uts.edu.au/subjects/details/11199.html
11206, Introduction to Construction and Structural Synthesis,https://handbook.uts.edu.au/subjects/details/11206.html
11207, Architectural Design and Construction,https://handbook.uts.edu.au/subjects/details/11207.html
